Roy Dimaculangan | Reserved Officers' Training Corps
Myrna Aparente | Purposive Communication
Josh Nasugbu | Computer Technology 2
Lance Gampanin | Computer Technology 2
Julius Novachrono | Physics
Jerome Malabanan | Engineering Data Analysis
Myrna Gairanod | Engineering Data Analysis
Alyanna Garcia | Purposive Communication
Cardo Ramirez | Object Oriented Programming
Julius Morante | Object Oriented Programming
Raymart Bukal | Discrete Mathematics
Albert Hernandez | Calculus 2
Marcus Dimaculangan | Calculus 2
Nayeon Im | Rhythmic Activities
Santita Morante | Purposive Communication
Christian Gampanin | Civic Welfare Training Service
Lolit Dela Cruz | Discrete Mathematics
Chaeyoung Park | Rhythmic Activities
Cardo Verde | Physics
Tristan Montefalco | Reserved Officers' Training Corps
